Business Name,Phone,Address,Rating,Reviews,Google Maps URL,Website
Les Hair Salon,(626) 375-3854,"9237 E Las Tunas Dr, Temple City, CA 91780, USA",4.3,19,https://maps.google.com/?cid=18096583536923061210,NONE
Annie G Beauty Salon,(626) 572-7760,"3218 N San Gabriel Blvd, Rosemead, CA 91770, USA",4.7,18,https://maps.google.com/?cid=3310951728894769487,NONE
Opyan's Hair Design ✂,(323) 660-7187,"2042 Hillhurst Ave, Los Angeles, CA 90027, USA",5,95,https://maps.google.com/?cid=4730373596913276166,NONE
Park Ave Salon,(818) 848-4882,"2033 W Glenoaks Blvd, Glendale, CA 91201, USA",4.9,23,https://maps.google.com/?cid=13743538084239487248,NONE
Burbank Hair Studio,(818) 563-1111,"401 S Glenoaks Blvd # 109, Burbank, CA 91502, USA",4.8,109,https://maps.google.com/?cid=18380721517683785707,NONE
New Image Cuts,(818) 242-8555,"6342 San Fernando Rd, Glendale, CA 91201, USA",4.5,207,https://maps.google.com/?cid=12920333437470884472,NONE
Ella Vie Hair Salon,(818) 814-8444,"S Adams St, Glendale, CA 91205, USA",5,33,https://maps.google.com/?cid=7481533964089694148,NONE
Heidi Beauty Salon,(323) 462-1485,"5020 Melrose Ave, Los Angeles, CA 90038, USA",5,11,https://maps.google.com/?cid=5357878672857115931,NONE
Burbank Hair Studio by Vilma,(818) 563-3582,"916 W Burbank Blvd #R, Burbank, CA 91506, USA",4.3,122,https://maps.google.com/?cid=13126929163704113134,NONE
Henry,(818) 242-5700,"209 N Central Ave, Glendale, CA 91203, USA",4.7,41,https://maps.google.com/?cid=14509338973876378545,NONE
MONARCH BEAUTY SALON /,(818) 240-5377,"919 E Broadway, Glendale, CA 91205, USA",4.9,35,https://maps.google.com/?cid=17247881218521431009,NONE
Salon One La Canada,(626) 391-9130,"1365 Foothill Blvd, La Cañada Flintridge, CA 91011, USA",4.9,76,https://maps.google.com/?cid=3416608506988197911,NONE
Jay-Zee Hair Salon,(310) 637-3448,"3516 Martin Luther King Jr Blvd #6, Lynwood, CA 90262, USA",4.7,107,https://maps.google.com/?cid=8887181711107717651,NONE
Avalos Hair & Beauty Lounge ✂,(323) 363-0161,"10113 Main St, Los Angeles, CA 90003, USA",4.6,77,https://maps.google.com/?cid=16822257101621221540,NONE
Gaby's & Leo's Salon,(310) 323-6263,"1090 Rosecrans Ave, Gardena, CA 90247, USA",4.7,150,https://maps.google.com/?cid=7251621030778751879,NONE
Mario's Beauty Salon,(310) 366-7518,"1040 W Gardena Blvd, Gardena, CA 90247, USA",4.6,84,https://maps.google.com/?cid=387621289187657924,NONE
Yovana's Beauty Salon,(562) 923-6621,"12940 Paramount Blvd, Downey, CA 90242, USA",4.9,33,https://maps.google.com/?cid=16535591805075372699,NONE
Rosy's Beauty Salon,(323) 560-1880,"4846 Florence Ave # B101, Bell, CA 90201, USA",4.9,65,https://maps.google.com/?cid=4717265432743935685,NONE
Any's Hair Studio ✂,,"1555 E Florence Ave, Los Angeles, CA 90001, USA",4.9,33,https://maps.google.com/?cid=17469406690956329092,NONE
Yolandas Beauty Salon,(323) 564-8850,"3292 Tweedy Blvd, South Gate, CA 90280, USA",4.8,36,https://maps.google.com/?cid=13000244345168414275,NONE
Mati's Beauty Salon,(323) 585-3325,"8517 Long Beach Blvd, South Gate, CA 90280, USA",4.8,58,https://maps.google.com/?cid=2623728402468433588,NONE
Theo's Beauty Salon,(323) 897-5532,"4301 S Figueroa St Unit B, Los Angeles, CA 90037, USA",4.6,44,https://maps.google.com/?cid=4923839418154471782,NONE
Rubio's Beauty Salon,(323) 541-9157,"6415 Normandie Ave, Los Angeles, CA 90044, USA",4.4,123,https://maps.google.com/?cid=8310502626139500863,NONE
Antonio's Hair Salon by Lupita,(323) 583-2933,"7812 State St, Huntington Park, CA 90255, USA",4.6,83,https://maps.google.com/?cid=3583963187799163533,NONE
Cosmopolitan Hair Salon,(323) 881-9264,"926 S Atlantic Blvd, Los Angeles, CA 90022, USA",4.7,100,https://maps.google.com/?cid=2643269806969034211,NONE
Onyx Beauty Salon,(323) 586-0811,"2421 Randolph St, Huntington Park, CA 90255, USA",4.7,55,https://maps.google.com/?cid=15662536892457981403,NONE
323 Beauty Salon & Barber Shop,(323) 835-6393,"6421 Santa Fe Ave, Huntington Park, CA 90255, USA",4.2,36,https://maps.google.com/?cid=2618181887291306102,NONE
Bloom Beauty Salon,(323) 269-1823,"4543 Whittier Blvd, Los Angeles, CA 90022, USA",4.6,47,https://maps.google.com/?cid=13340041821991924794,NONE
Johanas Beauty salon & Barber shop,(323) 264-3024,"4136 Whittier Blvd, Los Angeles, CA 90023, USA",4.7,96,https://maps.google.com/?cid=8688198053347117216,NONE
Pure Pleasure Salon,(323) 752-1899,"2149 W Manchester Ave, Los Angeles, CA 90047, USA",4.3,78,https://maps.google.com/?cid=14765029725700927078,NONE
Sé Bella Hair,(562) 291-2250,"5925 Imperial Hwy., South Gate, CA 90280, USA",4.8,39,https://maps.google.com/?cid=13697500995498445317,NONE
Annel's Beauty Salon,(323) 773-4840,"8038 Atlantic Ave, Cudahy, CA 90201, USA",4.3,63,https://maps.google.com/?cid=13506417588044608571,NONE
Sandra's Hair Studio,(310) 516-9022,"16408 New Hampshire Ave, Gardena, CA 90247, USA",4.8,30,https://maps.google.com/?cid=14422716295191018098,NONE
Mayra's Beauty Salon Unisex,(323) 592-0802,"5568 Gage Ave, Bell Gardens, CA 90201, USA",4.8,27,https://maps.google.com/?cid=3707148705508974156,NONE
Maricela Beauty Salon,(310) 532-0502,"1344 W 155th St, Gardena, CA 90247, USA",4.2,197,https://maps.google.com/?cid=5955359248223424642,NONE
Tere Q Beauty Salon,(562) 630-2436,"12235 Garfield Ave, South Gate, CA 90280, USA",4.5,53,https://maps.google.com/?cid=9552573477884945320,NONE
Julie's Beauty Salon,(323) 588-2413,"8015 Long Beach Blvd C, South Gate, CA 90280, USA",4.7,34,https://maps.google.com/?cid=12263287172441322599,NONE
Kris Beauty Salon,(562) 313-2421,"suite A, 6708 Somerset Blvd # C, Paramount, CA 90723, USA",4.8,20,https://maps.google.com/?cid=8015569168447601024,NONE
Carol's Beauty Salon,(562) 619-3825,"15339 Paramount Blvd, Paramount, CA 90723, USA",4.8,24,https://maps.google.com/?cid=15813997174318991814,NONE
Vania's Salon Barberia & SPA,(323) 749-1705,"5041 Normandie Ave, Los Angeles, CA 90037, USA",4.5,51,https://maps.google.com/?cid=12484661080616313667,NONE
Ruby's Beauty Salon,(323) 756-6463,"11223 S Figueroa St, Los Angeles, CA 90061, USA",4.4,47,https://maps.google.com/?cid=7780191842699736461,NONE
Love Your Hair Salon,(323) 600-5065,"3218 1/2 W Jefferson Blvd, Los Angeles, CA 90018, USA",4.9,11,https://maps.google.com/?cid=7620066385236484094,NONE
Betty's Beauty Salon,(323) 759-4989,"8200 S Broadway, Los Angeles, CA 90003, USA",4.6,123,https://maps.google.com/?cid=10855845777707554535,NONE
Sunflower Beauty Salon,(323) 260-7441,"918 S McBride Ave, Los Angeles, CA 90022, USA",4.6,35,https://maps.google.com/?cid=17324808578216736904,NONE
Elizabeth's Beauty Salon,(310) 639-5398,"729 E Compton Blvd, Compton, CA 90221, USA",4.5,76,https://maps.google.com/?cid=8062895722540452662,NONE
Bella Beauty Salon,(323) 412-3765,"16219 S Western Ave, Gardena, CA 90247, USA",4.6,27,https://maps.google.com/?cid=6698770069295658012,NONE
Luna's beauty salon y barber shop,(310) 980-1798,"11039 Atlantic Ave, Lynwood, CA 90262, USA",4.7,30,https://maps.google.com/?cid=6190772699055460707,NONE
Trini's Beauty Salon,(323) 750-5264,"7601 Main St, Los Angeles, CA 90003, USA",4.4,67,https://maps.google.com/?cid=15182367243847389269,NONE
Paper Scissors Rock Salon,(310) 399-7625,"1711 Pacific Ave A, Venice, CA 90291, USA",4.9,85,https://maps.google.com/?cid=1352626154790405853,NONE
Shane Salon,(310) 208-1226,"1080 Glendon Ave, Los Angeles, CA 90024, USA",5,12,https://maps.google.com/?cid=2718163738890686351,NONE
Lawrence & Colbert,(626) 314-2550,"757 E Altadena Dr, Altadena, CA 91001, USA",4.7,37,https://maps.google.com/?cid=15820484771185060306,NONE
Salon De La Cruz,(626) 793-9673,"989 E Green St, Pasadena, CA 91106, USA",4.8,43,https://maps.google.com/?cid=15724123879273725389,NONE
The Greater Good Salon,(626) 460-3223,"49 S Catalina Ave, Pasadena, CA 91106, USA",4.8,42,https://maps.google.com/?cid=5974949760524763393,NONE
Noemi Family Hair Design,(626) 848-4301,"415 W Main St, Alhambra, CA 91801, USA",4.1,56,https://maps.google.com/?cid=13977966788430599486,NONE
Magic Beauty Salon No 2,(626) 797-8856,"1191 N Lake Ave, Pasadena, CA 91104, USA",4.8,38,https://maps.google.com/?cid=14639529453552502438,NONE
33 North Salon,(626) 710-6747,"37 N Altadena Dr, Pasadena, CA 91107, USA",4.8,22,https://maps.google.com/?cid=10377989478690303494,NONE
Positive Image Salon,(626) 839-5933,"1537 E Amar Rd, West Covina, CA 91792, USA",4.7,76,https://maps.google.com/?cid=17324855647191459553,NONE
Perfect Style,(818) 270-8568,"1240 N Hacienda Blvd # 104, La Puente, CA 91744, USA",4.9,109,https://maps.google.com/?cid=8077475592775748877,NONE
Beauty Lounge Salon,(626) 332-7300,"563 S 2nd Ave, Covina, CA 91723, USA",4.9,26,https://maps.google.com/?cid=8633737285752978946,NONE
Lulindas Hair Salon Covina,(626) 966-8285,"574 E San Bernardino Rd, Covina, CA 91723, USA",4.8,106,https://maps.google.com/?cid=15703882143031751204,NONE
Salon So Me,(626) 343-9590,"145 W Badillo St, Covina, CA 91723, USA",4.7,27,https://maps.google.com/?cid=17077424009674633474,NONE
Beleza Salon & Spa,,"450 S Glendora Ave, West Covina, CA 91790, USA",4.7,30,https://maps.google.com/?cid=8740009787008618946,NONE
Salon Paz,(626) 917-2776,"144 S Glendora Ave, West Covina, CA 91790, USA",4.8,42,https://maps.google.com/?cid=10848639279563704471,NONE
Thirty Three Salon,(626) 732-5813,"147 S Citrus Ave, Covina, CA 91723, USA",4.5,43,https://maps.google.com/?cid=2442372869599036408,NONE
Nueva Luna's Beauty Salon,(626) 420-2990,"421 S Azusa Ave, City of Industry, CA 91744, USA",4,21,https://maps.google.com/?cid=18248002175287827834,NONE
Chic Beauty Salon,(626) 804-7004,"623 N Azusa Ave, Azusa, CA 91702, USA",4.9,52,https://maps.google.com/?cid=9157152635489680087,NONE
B•you•tiful Salon,(626) 598-4474,"116 E Badillo St Ste A, Covina, CA 91723, USA",4.6,21,https://maps.google.com/?cid=10391568455511387798,NONE
Cal Hair Salon,(626) 966-3559,"555 N Azusa Ave, Covina, CA 91722, USA",4.5,80,https://maps.google.com/?cid=9169487524601041046,NONE
Studio NZ Hair Salon,(626) 271-6107,"4702 N Grand Ave, Covina, CA 91724, USA",4.9,24,https://maps.google.com/?cid=2472555274275555500,NONE
DIAO CHAN HAIR & BEAUTY SALON,(626) 346-3255,"1380 Fullerton Rd #204, Rowland Heights, CA 91748, USA",4.1,85,https://maps.google.com/?cid=2830727873733178143,NONE
Amy's Hair Design,(626) 454-5414,"3831 Peck Rd # D, El Monte, CA 91732, USA",4.8,19,https://maps.google.com/?cid=14927778561882242137,NONE
Jalisco Beauty Salon,(626) 387-7957,"305 N Azusa Ave, Azusa, CA 91702, USA",4.5,114,https://maps.google.com/?cid=2690300295266292118,NONE
"Salon De Manila By Malou, The Spa California",(626) 839-0309,"1559 E Amar Rd # P, West Covina, CA 91792, USA",4.4,16,https://maps.google.com/?cid=15867099223881681466,NONE
Ashley's Hair Salon,(626) 965-5052,"2355 S Azusa Ave, West Covina, CA 91792, USA",4.5,51,https://maps.google.com/?cid=6133559915817796390,NONE
TERE'S Beauty Salon,(626) 918-3315,"1373 N Hacienda Blvd, La Puente, CA 91744, USA",4.1,79,https://maps.google.com/?cid=17329291998946221031,NONE
Salon 66,(626) 335-7779,"102 W Foothill Blvd, Glendora, CA 91741, USA",4.4,30,https://maps.google.com/?cid=5219763360944266783,NONE
LUXE Salon,(626) 914-5893,"112 N Glendora Ave, Glendora, CA 91741, USA",4.6,136,https://maps.google.com/?cid=5548243098888851962,NONE
Theory Studio for Hair,(909) 599-9331,"125 E Bonita Ave, San Dimas, CA 91773, USA",4.6,88,https://maps.google.com/?cid=11085307129986083254,NONE
Salon Lever,(909) 971-3846,"222 W Foothill Blvd, Claremont, CA 91711, USA",5,25,https://maps.google.com/?cid=1833169383224858557,NONE
Forte' salon,(909) 626-0644,"280 W 2nd St, Claremont, CA 91711, USA",4.9,28,https://maps.google.com/?cid=13021698919954653293,NONE
The Hair Witch Project,(909) 626-7307,"601 E Foothill Blvd Ste. A, Claremont, CA 91711, USA",4.7,41,https://maps.google.com/?cid=7822614706252250744,NONE
Hairmasters Of La Verne,(909) 593-5535,"2127 Foothill Blvd B, La Verne, CA 91750, USA",4.8,82,https://maps.google.com/?cid=1668086853143314841,NONE
Salon Couture,(909) 593-1121,"3847 Emerald Ave, La Verne, CA 91750, USA",4.8,52,https://maps.google.com/?cid=5166224116581685514,NONE
Salon Rumors,(909) 869-7214,"1301 N Grand Ave, Walnut, CA 91789, USA",4.6,42,https://maps.google.com/?cid=9170169607106886992,NONE
Claremont Village Salon,(951) 710-7665,"114 N Indian Hill Blvd, Claremont, CA 91711, USA",4.8,25,https://maps.google.com/?cid=3367582345560700769,NONE
Sinaloa Beauty Salon,(909) 629-8895,"1285 S Garey Ave # C, Pomona, CA 91766, USA",4.4,76,https://maps.google.com/?cid=4007469232971522172,NONE
Sandy's Salon and Barber Shop,(909) 729-7757,"1565 W Holt Ave suites 8, Pomona, CA 91768, USA",4.6,50,https://maps.google.com/?cid=16444733799726340818,NONE
Colour & Shears Salon,(909) 622-6745,"350 N Garey Ave Suite 400, Pomona, CA 91767, USA",4.6,38,https://maps.google.com/?cid=1642350957338088080,NONE
Kang's Beauty Salon,(626) 205-8183,"1080 E Mission Blvd, Pomona, CA 91766, USA",4.9,52,https://maps.google.com/?cid=9621020634553797662,NONE
Bishara Salon,(626) 364-7100,"20768 E Arrow Hwy, Covina, CA 91724, USA",5,16,https://maps.google.com/?cid=10465426987346852236,NONE
Leticia's Barber & Beauty Salon,(909) 242-5709,"1162 W Mission Blvd, Pomona, CA 91766, USA",4.7,75,https://maps.google.com/?cid=5587529260089504130,NONE
Aurea's Beauty Salon,(909) 865-8450,"488 W Holt Ave # 4, Pomona, CA 91768, USA",4.4,65,https://maps.google.com/?cid=12830190690970455350,NONE
West138 Salon,(909) 305-0704,"138 W Bonita Ave, San Dimas, CA 91773, USA",4.9,29,https://maps.google.com/?cid=5855779849651097332,NONE
Bella's Threading and Hair Studio,(909) 593-4247,"2855 Foothill Blvd # B105, La Verne, CA 91750, USA",4.6,76,https://maps.google.com/?cid=14338411706687526957,NONE
Amy's Beauty Salon,(909) 364-8333,"2055 S Reservoir St # E, Pomona, CA 91766, USA",4.9,21,https://maps.google.com/?cid=17990762361777279596,NONE
Hair by Lisa B,(347) 907-1887,"840 W Arrow Hwy #130, San Dimas, CA 91773, USA",5,16,https://maps.google.com/?cid=10368678412879579040,NONE
Mondéz Salon,(909) 753-6428,"2123 N Towne Ave, Pomona, CA 91767, USA",4.1,59,https://maps.google.com/?cid=17264545413448915955,NONE
Classy Cuts & Color Salon,(909) 392-6600,"1298 Bonita Ave, La Verne, CA 91750, USA",4.8,39,https://maps.google.com/?cid=10250822145709163043,NONE
Top Hair Design,(909) 865-8638,"1087 E Holt Ave # B, Pomona, CA 91767, USA",4.5,39,https://maps.google.com/?cid=758992054873015325,NONE
Nexi's Beauty Salon,(909) 967-0032,"720 N Garey Ave, Pomona, CA 91767, USA",4.7,51,https://maps.google.com/?cid=10239804859365875290,NONE
Tres Bon Salon,(909) 624-9116,"143 Harvard Ave N # D, Claremont, CA 91711, USA",4.9,18,https://maps.google.com/?cid=10805070742153730689,NONE
Bella Tresse Hair Salon,(909) 783-2303,"22597 Barton Rd unit C, Grand Terrace, CA 92313, USA",4.9,56,https://maps.google.com/?cid=14052410889670559732,NONE
Innovations In Hair & Nails,(909) 824-0553,"22400 Barton Rd UNIT 22, Grand Terrace, CA 92313, USA",4.6,22,https://maps.google.com/?cid=3525968321000912557,NONE
J beauty and bar,(909) 954-8333,"4173 Park Ave, Riverside, CA 92507, USA",4.8,26,https://maps.google.com/?cid=15754943539548653234,NONE
The Hair Story Salon,(951) 465-5619,"Phenix Salon Suites of Riverside, 6165 Valley Springs Pkwy, Riverside, CA 92507, USA",5,37,https://maps.google.com/?cid=8801133055884980253,NONE
50/20 Salon,(951) 231-3559,"2589 Main St, Riverside, CA 92509, USA",4.9,12,https://maps.google.com/?cid=7260010154432142646,NONE
The Loft Salon,(951) 505-3752,"9886 Magnolia Ave, Riverside, CA 92503, USA",5,15,https://maps.google.com/?cid=3863481212870191076,NONE
Hair Couture & HC Barbering,(909) 824-2829,"22545 Barton Rd, Grand Terrace, CA 92313, USA",5,24,https://maps.google.com/?cid=13066805498489482546,NONE
Cmc hair studio,(909) 341-2444,"12210 Michigan St unit I, Grand Terrace, CA 92313, USA",5,7,https://maps.google.com/?cid=9980247956483313082,NONE
Nueva Imagen Hair Salon,(951) 248-0102,"3310 Mary St, Riverside, CA 92506, USA",4.6,32,https://maps.google.com/?cid=1422119156987432816,NONE
Cultivate Beauty,(909) 264-3151,"22400 Barton Rd Suite 17, Grand Terrace, CA 92313, USA",5,21,https://maps.google.com/?cid=1419297837032542669,NONE
Rosalba's Beauty Salon,(951) 328-9418,"5580 Mission Blvd, Riverside, CA 92509, USA",4.8,51,https://maps.google.com/?cid=4960117169736000711,NONE
